order_id,product_name,category,quantity,unit_price,revenue,date,region
5032,Sofa Set,Furniture,10,23896.97,238969.7,2024-06-14,West
2724,Cooking Oil 1L,Grocery,3,176.59,529.77,2024-03-06,North
9162,Sneakers,Clothing,2,1871.86,3743.72,2024-11-13,East
2436,Dining Table,Furniture,1,11518.93,11518.93,2024-03-19,North
7410,Formal Shirt,Clothing,3,928.59,2785.77,2024-09-20,East
9015,"LED TV 55""",Electronics,3,36893.12,110679.36,2024-11-16,North
9371,Tea Pack 500g,Grocery,1,147.13,147.13,2024-11-28,West
8201,Sofa Set,Furniture,3,25595.28,76785.84,2024-10-12,East
11101,Tea Pack 500g,Grocery,2,156.97,313.94,2024-12-28,East
5883,Sneakers,Clothing,4,1916.5,7666.0,2024-08-09,South
11158,Jacket,Clothing,3,2467.6,7402.8,2024-12-19,North
10337,Sugar 1kg,Grocery,10,43.86,438.6,2024-12-29,East
10564,Jeans,Clothing,1,1341.4,1341.4,2024-12-18,South
4711,Office Chair,Furniture,3,4337.22,13011.66,2024-06-23,South
3162,Bed Frame,Furniture,2,14772.13,29544.26,2024-04-13,South
8134,Laptop Pro,Electronics,1,46724.36,46724.36,2024-10-20,East
9451,Rice 5kg,Grocery,10,243.25,2432.5,2024-11-20,South
8738,Rice 5kg,Grocery,2,255.64,511.28,2024-11-15,West
3169,Tea Pack 500g,Grocery,4,152.01,608.04,2024-04-28,North
5783,Cooking Oil 1L,Grocery,1,176.3,176.3,2024-07-29,South
3324,Formal Shirt,Clothing,1,895.76,895.76,2024-04-23,West
3601,Wireless Earbuds,Electronics,2,3054.16,6108.32,2024-05-16,East
2181,Laptop Pro,Electronics,3,44286.13,132858.39,2024-03-04,North
6205,Bluetooth Speaker,Electronics,1,2578.87,2578.87,2024-08-17,North
1164,Sugar 1kg,Grocery,2,44.66,89.32,2024-01-26,South
4360,Wheat Flour 5kg,Grocery,10,227.09,2270.9,2024-06-10,East
3972,"LED TV 55""",Electronics,3,38317.1,114951.3,2024-05-12,West
9760,Bed Frame,Furniture,1,15667.73,15667.73,2024-11-13,North
4578,Rice 5kg,Grocery,1,256.73,256.73,2024-06-19,East
9860,Bed Frame,Furniture,10,15440.24,154402.4,2024-11-11,North
8220,Sneakers,Clothing,1,1863.27,1863.27,2024-10-23,North
1520,Office Chair,Furniture,3,4523.87,13571.61,2024-01-08,West
9637,Office Chair,Furniture,1,4639.54,4639.54,2024-11-18,South
6368,"LED TV 55""",Electronics,1,37036.5,37036.5,2024-08-29,South
4318,Wireless Earbuds,Electronics,1,3116.81,3116.81,2024-05-02,West
11408,Bed Frame,Furniture,1,15225.55,15225.55,2024-12-12,North
3009,Jacket,Clothing,3,2594.86,7784.58,2024-04-01,South
7898,Bluetooth Speaker,Electronics,4,2604.36,10417.44,2024-10-10,South
5864,Sugar 1kg,Grocery,1,47.16,47.16,2024-07-03,North
7388,Dining Table,Furniture,1,12198.97,12198.97,2024-09-24,South
3515,Wireless Earbuds,Electronics,10,3173.81,31738.1,2024-04-24,North
4384,Jeans,Clothing,4,1360.54,5442.16,2024-06-05,West
4880,Bookshelf,Furniture,10,3244.61,32446.1,2024-06-26,North
11225,Jacket,Clothing,5,2560.45,12802.25,2024-12-03,South
2838,Jacket,Clothing,2,2427.47,4854.94,2024-03-04,East
1946,Dining Table,Furniture,4,12185.46,48741.84,2024-02-01,East
3760,Bluetooth Speaker,Electronics,4,2381.36,9525.44,2024-05-27,South
10396,"LED TV 55""",Electronics,4,36156.52,144626.08,2024-12-03,East
